step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,session_step,session_progress_pct
74088,83.06086264511157,0.5261601805686951,58.703012230018,-0.53018266,-1.0,-0.83256996,0.61433554,-53.45297574996948,1.0,96730,12648.0,15.439453125
69032,83.04830099822534,0.5259509086608887,58.69084839646597,0.038604736,-1.0,-0.55643475,0.21191859,-36.42362833023071,1.0,151929,7592.0,9.267578125
97535,83.03623617500395,0.5257500410079956,58.6791655595022,-0.39300817,-0.99411917,-1.0,0.90503335,-20.304489135742188,1.0,160000,36095.0,44.061279296875
142089,83.02649651386511,0.5255879759788513,58.66973420078847,-0.74138093,-1.0,-0.991526,-0.6381031,-46.44523739814758,1.0,89241,80649.0,98.448486328125
71352,83.02340774696259,0.5255365967750549,58.66674319433236,-1.0,-0.93863225,-0.7974237,0.46474287,-30.95271706581116,1.0,160000,9912.0,12.099609375
101375,83.01341785529493,0.5253704786300659,58.65706944507147,-1.0,-1.0,0.61860293,-0.21557653,-55.8627188205719,1.0,160000,39935.0,48.748779296875
131485,83.00826856799668,0.5252848863601685,58.65208308897365,-1.0,0.0596385,-1.0,0.013521552,-20.0,1.0,136954,70045.0,85.504150390625
88846,83.00146052635088,0.5251717567443848,58.64549043863743,-1.0,-1.0,-1.0,0.567829,-60.0,1.0,116283,27406.0,33.45458984375
140227,82.97926587492739,0.5248032212257385,58.623997776386645,-0.9653096,-1.0,0.5776377,0.43038297,-25.52825808525085,1.0,160000,78787.0,96.175537109375
142590,82.9701624650557,0.5246521830558777,58.61518220756089,-1.0,-0.42820966,-0.50471485,0.9732097,-36.33614659309387,1.0,129959,81150.0,99.06005859375
67820,82.91152467726732,0.5236809849739075,58.55839726271898,0.10848808,-1.0,-1.0,1.0,-41.13888680934906,1.0,160000,6380.0,7.7880859375
130536,82.90450257439313,0.523564875125885,58.55159690309096,-1.0,-0.31371272,-1.0,0.20947564,-35.25988340377808,1.0,156854,69096.0,84.345703125
99267,82.90009986102405,0.5234920978546143,58.54733320273287,-0.28188503,-0.10540259,-1.0,-0.5008342,-53.51442337036133,1.0,160000,37827.0,46.175537109375
88937,82.89722548469793,0.5234445929527283,58.54454957669231,-1.0,-1.0,0.32565176,-0.972329,-28.91502857208252,1.0,160000,27497.0,33.565673828125
65768,82.88311437876403,0.5232114791870117,58.53088391559045,-1.0,-0.2737214,0.56695646,0.061315775,-20.0,1.0,160000,4328.0,5.283203125
89507,82.87882238948607,0.5231406092643738,58.526727387259896,-1.0,-1.0,-1.0,-0.38209474,-22.253479957580566,1.0,160000,28067.0,34.261474609375
83033,82.85322426536796,0.5227182507514954,58.50193694102486,-1.0,-0.64268667,0.9572398,0.92120266,-57.91434407234192,1.0,58709,21593.0,26.358642578125004
79644,82.8506322509006,0.5226755142211914,58.49942668815142,-1.0,-1.0,-1.0,-0.35575908,-20.0,1.0,160000,18204.0,22.2216796875
131185,82.83664322029239,0.5224449634552002,58.48587885216949,-1.0,-1.0,-1.0,-0.3753878,-20.0,1.0,133883,69745.0,85.137939453125
66773,82.8305099413885,0.5223439335823059,58.47993897094299,-1.0,-1.0,0.8169244,-0.7787942,-24.32657718658448,1.0,160000,5333.0,6.510009765624999
97609,82.8270172806899,0.5222864151000977,58.4765564324177,-0.76033306,-0.06749457,-1.0,0.5094526,-20.0,1.0,160000,36169.0,44.151611328125
78843,82.82001561856065,0.522171139717102,58.469775507613214,-0.38770097,-0.2192679,-1.0,0.96258104,-26.07329368591309,1.0,160000,17403.0,21.243896484375
137843,82.79589988518734,0.521774411201477,58.44641983022868,-1.0,-1.0,-1.0,0.5918498,-20.0,1.0,160000,76403.0,93.265380859375
68507,82.79300300143483,0.5217267870903015,58.443614224016045,-1.0,-1.0,-1.0,-0.16435999,-20.0,1.0,154944,7067.0,8.626708984375
77488,82.78841932892816,0.5216514468193054,58.439174967539024,-1.0,0.17683321,-1.0,1.0,-56.091930866241455,1.0,160000,16048.0,19.58984375
135072,82.77627325984031,0.5214518904685974,58.42741151893685,-1.0,-1.0,-1.0,0.37911922,-32.66188681125641,1.0,160000,73632.0,89.8828125
96064,82.77227009793987,0.5213861465454102,58.42353444358257,-1.0,-1.0,-1.0,-0.82137007,-20.0,1.0,160000,34624.0,42.265625
71009,82.7538879862953,0.5210844278335571,58.40573118514905,-0.48214287,-1.0,0.02509439,-0.50259936,-56.81361198425293,1.0,160000,9569.0,11.680908203125
107601,82.75247466801883,0.5210612416267395,58.404362363927945,-0.71524113,-0.45263952,-1.0,0.6694421,-20.0,1.0,133150,46161.0,56.34887695312501
127115,82.73375049817531,0.5207542181015015,58.386227595078,-0.92532635,-1.0,-0.9608308,1.0,-20.0,1.0,160000,65675.0,80.169677734375
73045,82.7251513046199,0.5206133127212524,58.37789901756671,-0.44952816,-1.0,-0.66936135,1.0,-39.78901028633118,1.0,145347,11605.0,14.166259765625
136471,82.72093400995341,0.5205442309379578,58.373814424783205,-1.0,-1.0,-0.1025238,1.0,-38.3584213256836,1.0,152906,75031.0,91.590576171875
109823,82.71049062202378,0.5203732252120972,58.363699604169,-1.0,-1.0,-1.0,-0.83506787,-29.236170053482056,1.0,160000,48383.0,59.061279296875
101796,82.70388832550711,0.5202651619911194,58.35730499405422,-1.0,-1.0,0.17254841,-0.48451746,-46.34088337421417,1.0,160000,40356.0,49.2626953125
62752,82.6986063657552,0.5201787352561951,58.35218916865167,-1.0,-1.0,-1.0,-0.9940949,-23.32207202911377,1.9729039669036863,160000,1312.0,1.6015624999999998
107049,82.69635108781412,0.5201418399810791,58.35000482129861,-1.0,-1.0,-1.0,-0.92780983,-47.023282051086426,1.0,160000,45609.0,55.67504882812499
75894,82.69062612384754,0.520048201084137,58.34445989923459,-1.0,-1.0,-0.9163291,-0.5837815,-20.0,1.0,155365,14454.0,17.64404296875
