step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1909,8.958404878007865,1.069496988748142e-07,5.34748494374071e-06,-1.0,-0.29571205,-0.33593363,-0.17523867,-38.48024621605873,6.472769141197205,160000
1910,26.883354131408666,0.08659690618515015,4.329845309257507,-0.36832124,-1.0,-1.0,0.589947,-36.79942309856415,1.0,126560
1911,9.750456732580856,2.3734297371902358e-07,1.1867148685951179e-05,0.7705171,-1.0,1.0,0.8459384,-20.00906229019165,5.28775817155838,63764
1912,9.461178842309895,1.7747272806900583e-07,8.873636403450291e-06,-0.122632265,0.28669107,-0.44256237,0.36382386,-52.64587998390198,3.489258646965027,160000
1913,17.292605381823485,0.00043971548439003527,0.021985774219501764,-1.0,-1.0,0.48267883,-0.14706945,-60.0,1.0,160000
1914,14.89636922767178,4.084616739419289e-05,0.0020423083697096445,-1.0,-0.7293196,-0.5785274,0.8476584,-32.31263995170593,1.3556740283966064,104426
1915,14.748423930811384,3.523867417243309e-05,0.0017619337086216547,-1.0,-0.017364383,-1.0,-0.23813318,-20.0,4.064160346984863,154535
1916,15.293726730079289,6.071465395507403e-05,0.0030357326977537014,-1.0,0.34564352,-1.0,-0.92112756,-20.0,1.0,156523
1917,26.311558658523754,0.07740519940853119,3.8702599704265594,-1.0,-1.0,-0.34336954,-0.59525716,-20.0,1.0,150792
1918,9.55111952905346,1.9426852304604836e-07,9.713426152302418e-06,-0.98318535,-0.94650424,0.63739467,0.48672548,-37.7830171585083,2.412433385848999,160000
1919,8.90101556519554,1.0092898605762457e-07,5.0464493028812285e-06,-1.0,-1.0,-1.0,-0.52471256,-60.0,8.939895987510681,149707
1920,18.490971070067694,0.001389898476190865,0.06949492380954325,-0.9147138,-1.0,-1.0,-0.111973,-35.03045082092285,1.0,160000
1921,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,0.28786123,-1.0,0.65379727,-1.0,-60.0,4.619280159473419,160000
1922,13.95957932299107,1.6026220691855997e-05,0.0008013110345927998,-0.30786175,-1.0,-1.0,-0.9263233,-42.704724967479706,1.9881004691123962,160000
1923,4.707283130913325,5.381016188188426e-10,2.6905080940942128e-08,-1.0,-0.15905493,-1.0,0.018141419,-20.0,2.3513725996017456,35650
1924,18.35315761482791,0.0012212208239361644,0.06106104119680822,-0.8615041,-0.75067806,-0.97438216,1.0,-24.407659769058228,1.0,160000
1925,11.969216452543414,2.190568466176046e-06,0.0001095284233088023,-0.6630658,0.21151876,-1.0,-0.88435614,-55.076366662979126,1.0,160000
1926,9.149237219274047,1.296466791700368e-07,6.48233395850184e-06,-0.60623,-0.91623974,-1.0,1.0,-37.38789737224579,1.8024734258651733,59102
