step,reward
1627,13.1
1628,9.39
1629,8.57
1630,9.54
1631,12.69
1632,8.23
1633,5.3
1634,8.5
1635,5.3
1636,9.85
1637,8.39
1638,13.66
1639,6.31
1640,10.35
1641,5.3
1642,12.74
1643,9.52
1644,8.33
1645,8.33
1646,10.0
1647,14.02
1648,5.3
1649,5.3
1650,5.3
1651,5.3
1652,9.16
1653,5.3
1654,5.3
1655,5.3
1656,9.11
1657,9.49
1658,14.49
1659,11.64
1660,11.7
1661,10.12
1662,5.3
1663,10.12
1664,8.83
1665,9.68
1666,14.07
1667,9.33
1668,9.25
1669,5.3
1670,5.3
1671,8.97
1672,5.3
1673,8.5
1674,7.44
1675,6.08
1676,13.95
1677,5.3
1678,12.62
1679,5.3
1680,9.67
1681,12.64
1682,10.12
1683,8.51
1684,9.02
1685,5.3
1686,5.3
1687,10.57
1688,7.37
1689,8.58
1690,5.3
1691,9.42
1692,5.3
1693,10.93
1694,11.96
1695,5.3
1696,14.21
1697,7.56
1698,5.3
1699,5.3
1700,5.3
1701,5.3
1702,9.35
1703,9.21
1704,8.23
1705,9.04
1706,5.3
1707,12.96
1708,5.3
1709,11.13
1710,5.3
1711,10.51
1712,5.3
1713,5.3
1714,5.3
1715,9.74
1716,5.3
1717,9.07
1718,5.3
1719,5.3
1720,13.39
1721,9.14
1722,9.72
1723,9.3
1724,13.12
1725,15.37
1726,8.88
1727,10.66
1728,5.3
1729,12.11
1730,11.68
1731,8.76
1732,5.3
1733,12.1
1734,12.87
1735,8.61
1736,9.86
1737,5.3
1738,8.75
1739,5.3
1740,9.09
1741,5.3
1742,8.54
1743,9.39
1744,10.4
1745,9.26
1746,13.26
1747,9.74
1748,13.2
1749,10.6
1750,5.3
1751,8.21
1752,8.42
1753,12.34
1754,9.7
1755,5.3
1756,8.91
1757,5.3
1758,9.07
1759,8.25
1760,9.08
1761,5.3
1762,9.6
1763,5.3
1764,12.35
1765,9.13
1766,8.65
1767,11.93
1768,9.59
1769,5.3
1770,5.3
1771,9.56
1772,8.54
1773,14.5
1774,12.95
1775,9.18
1776,5.3
1777,8.98
1778,8.56
1779,12.32
1780,8.57
1781,9.59
1782,10.62
1783,8.59
1784,5.3
1785,9.59
1786,10.03
1787,9.19
1788,8.82
1789,5.3
1790,10.65
1791,11.36
1792,9.99
1793,5.3
1794,14.26
1795,8.82
1796,8.16
1797,13.33
1798,8.87
1799,8.57
1800,5.3
1801,5.3
1802,7.98
1803,8.41
1804,9.88
1805,9.55
1806,5.3
1807,13.85
1808,5.3
1809,8.85
1810,13.29
1811,9.57
1812,10.09
1813,7.05
1814,12.27
1815,9.82
1816,9.49
1817,5.3
1818,8.87
1819,12.65
1820,8.5
1821,9.06
1822,9.84
1823,10.19
1824,14.77
1825,8.32
1826,5.3
1827,12.92
1828,5.3
1829,5.3
1830,5.3
1831,14.88
1832,9.27
1833,8.95
1834,5.3
1835,5.3
1836,5.3
1837,8.62
1838,9.55
1839,5.3
1840,7.45
1841,5.3
1842,5.3
1843,9.81
1844,13.74
1845,7.65
1846,11.07
1847,5.3
1848,9.33
1849,9.36
1850,5.3
1851,5.3
1852,8.62
1853,10.81
1854,9.49
1855,5.3
1856,5.3
1857,5.3
1858,5.3
1859,10.13
1860,5.3
1861,8.65
1862,5.3
1863,5.37
1864,15.58
1865,16.36
1866,8.76
1867,14.7
1868,9.3
1869,8.44
1870,8.8
1871,8.14
1872,10.26
1873,9.06
1874,9.11
1875,9.29
1876,7.43
1877,9.46
1878,9.38
1879,9.55
1880,5.3
1881,5.3
1882,8.92
1883,10.41
1884,8.59
1885,5.3
1886,7.97
1887,8.08
1888,9.86
1889,14.07
1890,10.17
1891,8.91
1892,9.36
1893,14.85
1894,8.67
1895,15.14
1896,5.3
1897,10.08
1898,5.3
1899,5.3
1900,5.3
1901,12.73
1902,13.82
1903,5.3
1904,9.24
1905,5.3
1906,8.61
1907,10.72
1908,5.91
1909,14.41
1910,9.44
1911,5.3
1912,8.31
1913,10.7
1914,9.03
1915,9.33
1916,9.39
1917,9.27
1918,15.24
1919,5.3
1920,13.36
1921,9.26
1922,9.19
1923,8.65
1924,15.38
1925,12.22
1926,11.68
1927,8.33
1928,12.49
1929,7.49
1930,5.3
1931,12.29
1932,5.3
1933,5.3
1934,5.3
1935,9.27
1936,5.3
1937,5.3
1938,9.8
1939,12.5
1940,9.37
1941,5.3
1942,12.56
1943,7.94
1944,8.73
1945,11.68
1946,9.28
1947,9.14
1948,10.31
1949,5.3
1950,8.53
1951,5.3
1952,16.33
1953,11.05
1954,18.41
1955,20.06
1956,5.3
1957,9.48
1958,5.3
1959,5.3
1960,5.3
1961,5.3
1962,11.34
1963,12.25
1964,13.97
1965,6.26
1966,5.3
1967,5.3
1968,5.3
1969,7.85
1970,10.88
1971,9.69
1972,9.62
1973,9.79
1974,12.42
1975,8.42
1976,5.3
1977,10.31
1978,5.3
1979,5.3
1980,8.3
1981,15.01
1982,9.25
1983,5.3
1984,13.66
1985,8.25
1986,13.59
1987,8.8
1988,9.13
1989,8.62
1990,5.3
1991,8.78
1992,11.31
1993,5.3
1994,8.76
1995,5.3
1996,8.37
1997,5.3
1998,12.13
1999,9.56
2000,12.02
2001,5.3
2002,10.69
2003,16.53
2004,8.87
2005,5.3
2006,9.21
2007,9.19
2008,13.89
2009,7.7
2010,14.39
2011,9.63
2012,11.09
2013,5.3
2014,10.51
2015,9.62
2016,5.3
2017,9.8
2018,10.17
2019,9.7
2020,12.51
2021,9.27
2022,7.75
2023,9.12
2024,5.3
2025,9.77
2026,10.78
2027,5.59
2028,8.98
2029,8.72
2030,5.3
2031,5.3
2032,8.43
2033,5.3
2034,5.3
2035,9.33
2036,9.57
2037,8.27
2038,5.3
2039,9.04
2040,8.97
2041,7.8
2042,9.68
2043,5.3
2044,13.57
2045,5.3
2046,7.97
2047,12.84
2048,5.3
2049,5.3
2050,13.99
2051,11.89
2052,5.3
2053,8.7
2054,5.3
2055,9.52
2056,13.84
2057,5.3
2058,10.06
2059,9.09
2060,9.55
2061,5.3
2062,9.18
2063,5.3
2064,13.37
2065,12.09
2066,8.93
2067,8.8
2068,8.82
2069,7.07
2070,5.3
2071,13.75
2072,5.3
2073,16.48
2074,5.3
2075,7.36
2076,5.3
2077,5.3
2078,8.12
2079,9.35
2080,9.65
2081,5.3
2082,17.15
2083,5.3
2084,13.64
2085,9.42
2086,10.63
2087,9.93
2088,12.14
2089,8.41
2090,5.3
